date,highest_rate,lowest_rate,average_rate
2025-01-02,4.481,4.474,4.4775
2025-01-03,4.503,4.4845,4.49375
2025-01-06,4.519,4.5,4.5095
2025-01-07,4.513,4.488,4.500500000000001
2025-01-08,4.5059,4.495,4.50045
2025-01-09,4.515,4.497,4.506
2025-01-10,4.5028,4.4921,4.49745
2025-01-13,4.517,4.507,4.5120000000000005
2025-01-14,4.508,4.497,4.5024999999999995
2025-01-15,4.5085,4.497,4.50275
2025-01-16,4.5045,4.492,4.4982500000000005
2025-01-17,4.508,4.499,4.5035
2025-01-20,4.505,4.493,4.4990000000000006
2025-01-21,4.48,4.452,4.466
2025-01-22,4.464,4.4335,4.44875
2025-01-23,4.4535,4.438,4.44575
2025-01-24,4.445,4.36,4.4025
2025-01-27,4.39,4.37,4.38
2025-01-28,4.404,4.3838,4.3939
2025-01-31,4.46,4.4,4.43
2025-02-03,4.51,4.475,4.4925
2025-02-04,4.468,4.44,4.454000000000001
2025-02-05,4.436,4.414,4.425
2025-02-06,4.439,4.415,4.427
2025-02-07,4.444,4.427,4.435499999999999
2025-02-10,4.476,4.455,4.4655000000000005
2025-02-12,4.474,4.455,4.4645
2025-02-13,4.472,4.45,4.461
2025-02-14,4.443,4.4315,4.43725
2025-02-17,4.434,4.424,4.429
2025-02-18,4.453,4.435,4.444
2025-02-19,4.452,4.4395,4.44575
2025-02-20,4.444,4.426,4.4350000000000005
2025-02-21,4.424,4.413,4.4185
2025-02-24,4.4125,4.39,4.401249999999999
2025-02-25,4.425,4.409,4.417
2025-02-26,4.435,4.408,4.4215
2025-02-27,4.448,4.427,4.4375
2025-02-28,4.473,4.457,4.465
2025-03-03,4.468,4.455,4.4615
2025-03-04,4.4719,4.456,4.4639500000000005
2025-03-05,4.457,4.428,4.4425
2025-03-06,4.43,4.41,4.42
2025-03-07,4.4385,4.406,4.42225
2025-03-10,4.425,4.406,4.4155
2025-03-11,4.438,4.41,4.4239999999999995
2025-03-12,4.438,4.42,4.429
2025-03-13,4.438,4.4235,4.43075
2025-03-14,4.448,4.44,4.444000000000001
2025-03-17,4.45,4.439,4.4445
2025-03-19,4.441,4.423,4.432
2025-03-20,4.433,4.419,4.426
2025-03-21,4.428,4.412,4.42
2025-03-24,4.4365,4.425,4.43075
2025-03-25,4.445,4.436,4.4405
2025-03-26,4.4325,4.42,4.42625
2025-03-27,4.435,4.428,4.4315
2025-03-28,4.435,4.426,4.4305
2025-04-02,4.457,4.446,4.451499999999999
2025-04-03,4.4833,4.437,4.4601500000000005
2025-04-04,4.443,4.414,4.4285
2025-04-07,4.483,4.455,4.468999999999999
2025-04-08,4.495,4.48,4.487500000000001
2025-04-09,4.507,4.488,4.4975000000000005
2025-04-10,4.483,4.464,4.4735
2025-04-11,4.445,4.415,4.43
2025-04-14,4.431,4.408,4.4195
2025-04-15,4.42,4.4,4.41
2025-04-16,4.419,4.407,4.413
2025-04-17,4.419,4.404,4.4115
2025-04-18,4.4145,4.405,4.409750000000001
2025-04-21,4.4,4.368,4.384
2025-04-22,4.393,4.376,4.3845
2025-04-23,4.415,4.39,4.4025
2025-04-24,4.41,4.37,4.390000000000001
2025-04-25,4.38,4.37,4.375
2025-04-28,4.379,4.3615,4.37025
2025-04-29,4.34,4.318,4.329
2025-04-30,4.324,4.304,4.314
2025-05-14,4.335,4.2792,4.3071
2025-05-02,4.328,4.255,4.2915
2025-05-05,4.24,4.185,4.2125
2025-05-06,4.24,4.21,4.225
2025-05-07,4.245,4.215,4.23
2025-05-08,4.284,4.25,4.2669999999999995
2025-05-09,4.325,4.296,4.3105
2025-05-13,4.34,4.318,4.329
2025-05-15,4.293,4.277,4.285
2025-05-16,4.3011,4.2585,4.2798
2025-05-19,4.32,4.28,4.300000000000001
2025-05-20,4.3,4.283,4.2915
2025-05-21,4.285,4.262,4.2735
2025-05-22,4.275,4.248,4.2615
2025-05-23,4.27,4.229,4.249499999999999
2025-05-26,4.22,4.201,4.2105
2025-05-27,4.24,4.194,4.2170000000000005
2025-05-28,4.256,4.223,4.2395
2025-05-29,4.259,4.232,4.2455
2025-05-30,4.261,4.22,4.2405
2025-06-03,4.255,4.235,4.245
2025-06-04,4.257,4.24,4.2485
2025-06-06,4.236,4.225,4.230499999999999
2025-06-09,4.245,4.23,4.237500000000001
2025-06-10,4.238,4.229,4.2335
2025-06-11,4.242,4.2315,4.23675
2025-06-12,4.232,4.22,4.226
2025-06-13,4.252,4.22,4.236
2025-06-16,4.248,4.238,4.243
2025-06-17,4.247,4.237,4.242
2025-06-05,4.246,4.227,4.2365
2025-06-18,4.253,4.246,4.2495
2025-06-19,4.267,4.25,4.2585
2025-06-20,4.265,4.245,4.255
2025-06-23,4.2935,4.27,4.28175
2025-06-24,4.265,4.2425,4.25375
2025-06-25,4.24,4.232,4.236000000000001
2025-06-26,4.2335,4.2155,4.2245
2025-06-30,4.23,4.209,4.2195
2025-07-01,4.203,4.178,4.1905
2025-07-02,4.23,4.205,4.2175
2025-07-03,4.226,4.214,4.220000000000001
2025-07-04,4.239,4.217,4.228
2025-07-08,4.247,4.235,4.241
2025-07-09,4.257,4.246,4.2515
2025-07-10,4.2545,4.242,4.2482500000000005
2025-07-11,4.261,4.25,4.2555
2025-07-14,4.259,4.247,4.253
2025-07-15,4.257,4.238,4.2475000000000005
2025-07-17,4.251,4.245,4.248
2025-07-18,4.247,4.24,4.2435
2025-07-21,4.241,4.229,4.234999999999999
2025-07-24,4.2225,4.213,4.2177500000000006
2025-07-25,4.229,4.216,4.2225
2025-07-28,4.23,4.215,4.2225
2025-07-29,4.242,4.23,4.236000000000001
2025-07-30,4.243,4.228,4.2355
2025-07-31,4.27,4.251,4.2605
2025-07-16,4.2585,4.243,4.25075
2025-07-23,4.2315,4.222,4.22675
2025-08-01,4.288,4.2705,4.27925
2025-08-04,4.25,4.234,4.242
2025-08-05,4.238,4.226,4.232
2025-08-06,4.232,4.227,4.2295
2025-08-07,4.2345,4.222,4.22825
2025-08-08,4.244,4.228,4.236
2025-08-11,4.246,4.2295,4.23775
2025-08-12,4.2395,4.23,4.23475
2025-08-13,4.2245,4.2045,4.2145
2025-08-14,4.22,4.1845,4.202249999999999
2025-08-15,4.225,4.21,4.217499999999999
2025-08-18,4.2265,4.216,4.2212499999999995
2025-08-19,4.23,4.223,4.2265
2025-08-20,4.232,4.224,4.228
2025-08-21,4.228,4.2195,4.22375
2025-08-22,4.235,4.2265,4.2307500000000005
2025-08-26,4.221,4.205,4.213
2025-08-27,4.238,4.215,4.2265
2025-08-29,4.228,4.2,4.214
2025-09-02,4.233,4.225,4.228999999999999
2025-09-03,4.232,4.225,4.2285
2025-09-04,4.233,4.22,4.2265
2025-09-08,4.225,4.217,4.221
2025-09-09,4.213,4.203,4.208
2025-09-10,4.221,4.21,4.2155000000000005
2025-09-11,4.224,4.218,4.221
2025-09-12,4.213,4.198,4.205500000000001
2025-09-17,4.195,4.185,4.1899999999999995
2025-09-18,4.202,4.19,4.196
2025-09-19,4.2145,4.204,4.20925
2025-09-22,4.212,4.203,4.2075
2025-09-23,4.201,4.196,4.198499999999999
2025-09-24,4.214,4.199,4.2065
2025-09-25,4.22,4.209,4.214499999999999
2025-09-29,4.215,4.209,4.212
2025-09-30,4.216,4.205,4.2105
2025-10-01,4.214,4.205,4.2095
2025-10-02,4.21,4.201,4.2055
2025-10-03,4.217,4.2075,4.212249999999999
2025-10-06,4.218,4.21,4.214
2025-10-07,4.217,4.213,4.215
2025-10-08,4.224,4.215,4.2195
2025-10-09,4.2213,4.211,4.216150000000001
2025-10-10,4.228,4.22,4.224
2025-10-13,4.2285,4.222,4.225250000000001
2025-10-16,4.2295,4.225,4.22725
2025-10-17,4.229,4.22,4.2245
2025-10-21,4.23,4.2205,4.225250000000001
2025-10-22,4.2315,4.226,4.22875
2025-10-27,4.22,4.212,4.215999999999999
2025-10-28,4.2075,4.198,4.20275
2025-10-29,4.194,4.188,4.191
2025-10-30,4.2,4.193,4.1965
2025-10-31,4.1965,4.183,4.18975
2025-11-03,4.201,4.195,4.198
2025-11-04,4.207,4.194,4.2005
2025-11-05,4.204,4.19,4.197
2025-11-06,4.195,4.18,4.1875
2025-11-07,4.183,4.169,4.176
2025-11-13,4.1333,4.126,4.12965
2025-11-14,4.138,4.129,4.1335
2025-11-17,4.157,4.132,4.1445
2025-11-18,4.178,4.155,4.1665
2025-11-24,4.147,4.1395,4.14325
2025-11-25,4.143,4.127,4.135
2025-11-26,4.137,4.123,4.13
2025-11-10,4.211,4.143,4.177
2025-11-11,4.2,4.1252,4.1626
2025-11-12,4.1439,4.1192,4.131550000000001
2025-11-27,4.132,4.125,4.1285
2025-11-28,4.135,4.126,4.1305
2025-12-01,4.137,4.126,4.1315
2025-12-02,4.134,4.13,4.132
2025-12-03,4.13,4.12,4.125
2025-12-04,4.12,4.11,4.115
2025-12-05,4.118,4.102,4.11
2025-12-08,4.116,4.107,4.1114999999999995
2025-12-09,4.1225,4.112,4.11725
2025-12-10,4.121,4.115,4.118
2025-12-11,4.111,4.103,4.106999999999999
2025-12-12,4.105,4.087,4.096
2025-12-15,4.096,4.087,4.0915
2025-12-16,4.095,4.0815,4.08825
2025-12-17,4.091,4.078,4.0845
2025-12-18,4.093,4.084,4.0885
2025-12-19,4.09,4.074,4.082
2025-12-22,4.081,4.075,4.078
2025-12-23,4.073,4.063,4.068
2025-12-24,4.063,4.044,4.0535
2025-12-26,4.052,4.03,4.041
2025-12-29,4.0615,4.052,4.056749999999999
2025-12-30,4.057,4.046,4.051500000000001
2025-12-31,4.063,4.053,4.058
2026-01-02,4.059,4.053,4.056
2026-01-05,4.078,4.063,4.0705
2026-01-06,4.065,4.045,4.055
2026-01-07,4.06,4.0475,4.05375
